CENTRO,DESCRIPCION,DIRECCIÓN,TELÉFONO,EMAIL,SUPERVISOR,HORARIO,IMAGE_CENTRE,ALIAS_IMG
POLICLÍNICO LAS PALMAS,POLICLÍNICO LAS PALMAS,"C/ Presidente Alvear, 10 - Las Palmas de Gran Canaria - 35006 - Las Palmas",928 296 300,supervision.policlinico@grupoicot.es,Juanjo Villamandos Blanco ,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/policlinicolaspalmas.jpg,policlinicolaspalmas
VECINDARIO,POLICLÍNICO VECINDARIO,"C/ Segovia, 79/81 - Vecindario - Santa Lucía - 35110 - Las Palmas",928 757 273,supervision.vecindario@grupoicot.es,Noelia Déniz Ramírez,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/policlinicovecindario.jpg,policlinicovecindario
7 PALMAS,7 PALMAS,"Avda. Pintor Felo Monzón, 21 - Las Palmas de Gran Canaria - 35019 - Las Palmas",928 424 344,supervision.sietepalmas@grupoicot.es ,Pedro García Betancor,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/7palmas.jpg,7palmas
ESCALERITAS,ESCALERITAS,"Avda. de Escaleritas, 54. Centro Comercial de Escaleritas, planta baja",928 398 953,supervision.escaleritas@grupoicot.es,Judit Alemán Padrón,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/escaleritas.jpg,escaleritas
INSURE,INSURE ALCARAVANERAS,"C/ Puccini, 14 - Las Palmas de Gran Canaria - 35006 Las Palmas",928 243 993,supervision.insure@grupoicot.es,Esther Medina Velázquez,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/insure.jpg,insure
VEGUETA,VEGUETA,"C/ Granadera Canaria, 26 Las Palmas de Gran Canaria",928 333 334,supervision.vegueta@grupoicot.es,Maricarmen Suárez Nieves,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/vegueta.jpg,vegueta
ARNAO TELDE,ARNAO TELDE,"C/ Roque, 63 Telde",928 704 044,supervision.arnao@gupoicot.es,Dara Velázquez Torres,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/arnaotelde.jpg,arnaotelde
GÁLDAR,GALDAR,"C/ Franciscano, 9  Gáldar",928 551 811,supervision.galdar@grupoicot.es,Yaiza Benítez Bolaños,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/galdar.jpg,galdar
MONTEBELLO,MONTEBELLO,"Centro Comercial de Tafira, local 1 - Santa Brígida - 35319 Las Palmas",928 351 212,supervision.montebello@grupoicot.es,Isabel Rodríguez Santana ,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/montebello.jpg,montebello
SAN AGUSTÍN,SAN AGUSTÍN,"C/ Los Jazmines, 4. San Agustín. San Bartolomé de Tirajana",928 948 744,supervision.sanagustin@grupoicot.es,Alexis Cabrera Lemes,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/sanagustin.jpg,sanagustin
SANTA CATALINA,SANTA CATALINA,"C/ León y Castillo, 292, planta 8  Las Palmas de Gran Canaria",928 297 151 EXT. 185,supervision.santacatalina@grupoicot.es,Rita Quintana González,De lunes a viernes - 8:00 a 20:00,/storage/img/centres/santacatalina.jpg,santacatalina
HOSPITAL TELDE,HOSPITAL CIUDAD DE TELDE,C/ Mister Blisse s/n – Urb. La Estrella - 35212 Telde - Las Palmas,828 700 764 - 928 707 555,supervision.enfermeria.hct@grupoicot.es;supervision.hct@grupoicot.es,José María Cabrera Hernández,Recepción 24 horas,/storage/img/centres/hospitaltelde.jpg,hospitaltelde
